	rome_1556	Val_S	BC_Ms_739	Digby_233	Vat_Reg_Lat_844
29	Virtutes autem quædam sunt quidam ornatus, 	Ca las uirtudes son vnos hornamentos e conponimientos e hunas perfectiones 	quar les uirtuts son algun ornament 	schal be excellent and vertuous 	uirtutes autem sunt quidem ornatus 
30|31	et quædam perfectiones animæ. |Oportet ergo prius ostendere, 	que fazen acabada el alma /· |Pues que assi es conuiene mostrͣ |primero 	e algunes perfeccions dela anima |¶primerament donques coue a demostrar 	by certeyn hey3tyng and perfeccioun of the soule. |Perfore it nedeth firste |to schewe 	et quedum perfectioes ai̾e 
32|33	quot sunt potentiæ animæ, |et in quibus potentijs habent esse virtutes. 	quantos son los poderios del alma |Et en quales poderios han de seer las uirtudes /· 	quantes son les potencies dela anima |e en quals potencies han persser les uirtuts/ 	whiche bien the vertual poten|cie and my3tes of the soule |and in col. 2 |whiche my3tes be vertues bien igrounded and ipi3t. 	et in quibus pocuneus hinis esse uirtutes. 
34	Consequenter autem manifestabitur, 	Et despues desto mostremos 	Empero apres sera mainfestat 	And thanne it schal be ischewed 	consequenter autem ma̾ifestabitur 
35	quomodo virtutes sunt diftinguendæ. 	en qual manera se depart̃ las uirtudes /· 	en qual manera les uirtuts deuen esser departides/ 	how the vertues bien distingued. 	quomodo uirtutes sunt distinguem de. 
36|37	Postea vero ostendemus, |quot sunt numero huiusmodi virtutes, 	Et despues desto mostr̉emos quantas son por cuento çierto estas uirtudes / · 	¶Enapͥs nos demostraren |quantes son per nonbre aquestes 	Perafter we schal|declare |how many suche vertues ber bien 	postea uero ostendemus |quot sunt numero uirtutes 
38	et quæ illarum sunt principales, et secundariæ. 	Et quales dellas son prinçipales / |·Et quales segundarias / · 	uirturs¶S quals da quells son principals |e quals son secundaries o meỹs principals 	and whiche perof is principale, |and whiche is secundary, 	et que illarum sunt principales |et que secundarie. 
39	Deinde autem declarabitur singulariter, 	Et ala postremeria declararemos espeçialmente 	E finalment sera declarat |en especial 	and thanne we schal trete singulerlich 	Dem̃ 16 autem declarabitur singulariter 
40	quæ sit vnaquæ illarum virtutum, 	qual es cada vna de estas uirtudes / · 	qual sia quescuma daquelles urtuts 	of eueriche of these vertues 	que sit unaquem earum uirtutum 
41	et quomodo decet reges et principes tales virtutes habere. 	Et en qual manera conuiene alos Reyes e alos prinçipes |de auer estas uirtudes ¶ 	E enqual mana se partaỹ dels Reys e dels princeps hauer tals 	and how it semeth kynges and princes |to haue suche vertues. 	et quomodo decet reges et principes tales uirtutens habere. 
42	Potentiæ autem animæ sic distingui possunt, 	pues que assi es los poderios del alma se pueden assi departir 	uirturs¶Les potencies dela anima |poden esser departides en aquesta 	The vertual my3tes |of the soule mowe be destyngued in these wise: 	Potucie autem aie̾ sic distingui possunt 
43	quia potentiæ animæ quædam sunt naturales, 	ca alguons destos poderios del alma son naturales 	manera¶Quar algunes son nanls 	for som bien kynde and natural, 	quia quidam sunt naturales 
44	quædam cognitiuæ sensitiuæ, 	e algunos son poderios senssitiuos conosçedores /· 	¶Algunes cognitiues o conexedores sensitiues 	and some cognitif and sensitif, 	quedum cognitiue sensitiue. 
45|46|47	quædam appetitiuæ, |et quædam intellectiuæ. |Natarales potentiæ sunt illæ, 	Et algunos desseadores e algunos intellectiuos e entendedores/ |¶ |Naturales poderios son aquellos 	¶Algunes appetitiues o uoluntaries/ |E altres entellectuals ¶les potencies naturals son aqualls 	and some appetitif, |and some intellectual. |In natural my3tes of the soule 	quedum appetitiue |et quedam intellectuie. |Naturales potentiae sunt ille 
48	in quibus communicamus cum vegetabilibus et plantis, 	enlos quales partiçipamos |con los arboles e con las plantas 	en les quals nos participan ab les coses |qui han uida 	we communeth with herbes and treen, |as in vertual my3t of norsching, 	in quibus communicamus cum uegetabilibus et plantis 
		e con todas las cosas 			
49	vt potentia nutritiua, augmentatiua, generatiua, 	que cresçen en la tr̃ra /· |assi commo son poderio de cerar e de acresçentar e de engendrar 	e ab les plantes axicom es potencia nutritiua crescitiua e generatiua eles altres autals 	of wexinge, |and of gendrynge, 	ut potentia nutritiua augmentatiua generatiua 
50	et talia quæ etiam ipsis arboribus competunt. 	e los quales partenesçen tan bien alos arboles e alas plantas commo anos 	qui aximatex couenen als arbres 	and in suche as corden |to herbes and treen. 	et talia que ⁊ͥ ipsis arboribus competunt 
51	Potentiæ vero cognitiuæ sensitiuæ, 	¶ |Mas los pode rios conosçedores de los sesos 	¶Mas les potencies conexedores sensitiues son la uista lo gustar ol 	The my3tes of sensitif knowyng and felyng 	potentiae uero cognitiue sensitiue 
52	sunt visus, gustus, auditus, et talia, 	son |assi commo el viso e el oymiento e el gusto e el odoramento e el tannimiento 	ta star lo tochar |e les altres aytals 	be the si3t, tast, and touche, and the oper wittes, 	sunt uisus gustus tactus 
53	in quibus comunicamus cum brutis. 	/ o el veer e el oyr e el gostar e el oler e el tanner |Et estos tales son comunes 	en los quals nos comunament participan ab les besties brutals 	and berinne we accordeb wip oper bestes. 	et talia in quibus communitamus cum brutis. 
54	Appetitiuæ vero distinguuntur: 	tan bien alas bestias commo anos / ¶ |Mas los poderios desseadores se departen en esta gusa /· 	¶Mas les potencies appetiues o uolenteroses son departides/ 	The appetitif is destyngued, 	appetiue uero distinguntur. 
55	nam quidam appetitus est in homine, 	Ca alguno dellos es propio al omne 	Quar algun appetiment o alguna uoluntat es en hon 	for oon appetit is in man 	Nam quidum appetitus est in homine 
56	in quo non communicat cum brucis, 	en el qual non partiçipa con las bestias / 	en lo qual ell no participa ab les besties brutals/ 	and not in oper bestes 	in quo non communicat cum brutis 
57	vt est appetitus sequens	·assi commo es el appetito |que sigue al entendimiento /· 	axi com es lappetimnent o la uoluntat |que seguer lenteniment 	as the appetit 	ut appetitus sequens intellectum 
58	intellectum:quidam vero in quo communicat cum eis, 	Et alguon sson comunes tan bien alas bestias |commo alos omes 	Mas algun alcre es |en lo qual ell participa ab ells 	that foloweth the intellectual inwit. |And anoper maner appetit is in man and in beste, 	quidum uero |in quo communicat 
59	vt appetitus sequenssensum 	assi commo el a etito |que sigue alos sesos 	axi com es lappetiment o lauoluntat 	as the appetite 	cumeis |ut appetitus sequens sensum. 
60|61	Appetitus autem sequens sensum potest |nominari sensualitas: 	Mas el desseo e el apetito |que sigue al seso |es llamados en sualidat/ · 	qui segueyx lo seny corporal pot esser appellat sensualitat/ 	that foloweth the felyng, |and suche appetite |may be cleped sensualitas. 	Appetitus autem sequens sensum potest noi̾ari sensualitas. 
62	sequens intellectum nominatur voluntas: 	Et el appetito que sigue al entendimiento es llamando uoluntad / · |Segund essa manera de fablar 	En aquall qui seguex lenteniment sia appellat 	And the appetit that foloweth the intellectual inwit is icleped voluntas, the wille. |And in that manere of speche oper bestes hauen the appetite 	sequens intellectum nomi̾etur uoluntas 
63	secundum quem modum loquendi bruta habent sensualitatem et appetitum sensitiuum, 	las bestias han senssualidat et |appetitoSegundaparte.¶.la sensitiuo / · 	uoluntat¶Segons la qual manera de parlar les besties brutals |han sensualitat e appetiment sensitiu/ 	that hatte sensualitas and appetitus sensitiuus, |and haueth not the appetite 	Secundum quem modum loquendi bruca habent sensualitatem |et appetitum sensitiuum. 
64	sed non habent uoluntatem et intellectum. 	Mas non han uoluntad nin appetito |que sigua al entendimiento 	Mas no han uoluntat |co es assaber appetiment intellectiu 	that hatte voluntas, |the intellectual wille. 	sed non habent uoluntatem 
65|66	Virtutes ergo, |de quibus loqui intendimus, 	Et pues que assi es las uirtudes |de que aqui auemos de fablar 	¶Donques les uirtuts dels quals nos entenen aperlar 	Thanne the vertues |of the whiche we thinketh 	quasi appetitum milła |num uirtutes ergo |de quibus loqui intendimus 
