	rome_1556	Val_S	BC_Ms_739	Digby_233	Vat_Reg_Lat_844
137|138|139	nam erat in potestate sua, |vt posset vti potu, |et cibo moderate 	Ca en su poderio era de vsar tenpradamente del comer e del beuer ¶ |La segunda razon es 	per ço com seria en lo seu poder |que pogues usar tempradament demangyar o de beure 	for it was in his powere |to ete and drynke mesurableliche. 	Nam in potestate sua |ut posset |uti potu et cibo moderate. 
140	Secundo in sensibus non est ponenda virtus moralis, 	por que las uirtudes morales |non deuen ser puestas enlos poderios senssibles /· 	Encama en los seỹs |no deu esser posada uirtut moral/ 	The secunde, moral vertue |is not in the potencial vertue of the fyue wyttes, 	Secundo in sensibus non est ponenda uirtus moralis 
141|142|143	quia sicut potentiæ naturales |non obediunt rationi, |quia secum 	porque assi commo los poderios naturales |non obedesçen a la razon / · |Ca segunt regla de razo 	Quar axi com les potencies naturals |no obehexen a la raho perso 	for as the kynde potencial vertues |bep no3t obedient to reson, |for by reule of resoun 	quia sicut potencie naturales non obediunt rͦi |quia secundum regulam rͦͦis nlłus magni 
144	dum regulam rationis nullus magis vel minus augetur, 	non es dicho ninguno |que cresçe 	com segons laregla dela raho |negun no es crescut ne ne mes ne meỹs 	no man hap more digestioun oper lasse, 	secundum minus augetur 
145	vel magis et minus digerit : 	mas / o menos nin muele· mas / o menos /· 	ne fa digestio mes ne meỹs 	noper more growyng oper lasse: 	uel magis et mius digerit 
146	sic nec sensus obediunt rationi, 	Assi non los sessos obedesçena la Razon nin al entendimiento /· 	¶Aximateix les seỹs no obeheren ala raho/. 	so the fif wittes bien not obedient to resoun, 	sic |nec sensus obediunt rationem. 
147|148	non enim est in potestate hominis videre clarius, |vel minus 	Ca non es en el poderio del omne |de veer |mas claramente nin menos/ 	Quar no es en lo poder del hom ueure pus clarament o menỹs clarament 	for it is not in manis power |to se oper heitlerlich oper dymlich; 	Non enim est in potestate homiͥs uidere clarius |secundum mius clare 
149|150	clare:quare si virtus moralis est aliquid secundum rationem, |huiusmodi virtus in sensibus poni non debet. 	·Por la qual razon si las uirtudes morales son regladas |segunt razon |ellas non deuen ser puestas en los sesos |¶ la terçera razon por	per la qual cosa si uirtut moral es alguna cosa |segons rah̾o / tal uirtut no deu esser posada enlos senys/ 	and 3if moral vertue folweth resoun, thanne vertue is not in fife wittes. 	Quare si uirtus moralis est aliquid |secundum rationem uirtus in sensibus poni non debet. 
151	Tertio in talibus non est moralis virtus, 	que las uirtudes morałs |non deuen ser puestas en los sesos es esta 	Encara les potencies sensitiues |no deuesser posada uirtut moral. 	The pridde, moral vertue is not in the fif wittes; 	Tertio in talibus non est moralis uirtus 
152	quia sicut potentiæ naturales sufficienter determinantur 	Ca assi commo los poderios naturales |son conplidamente determinados 	Quar axi com les potencies uerals |sufficientment son detinenades 	for as the natural potencial vertues |bep fol set to here worchyng 	quia sicut potentiae naturales sufficienter detia̾ntur 
153	ad actiones suas per suam naturam: 	a sus obras por naturaleza / · 	per la sua natura ales sues obres/ aximateix los seỹs/ 	by here owne kynde, 	ab acctioes suas |per suam naturam 
154|155|156	sic et sensus. |Nam sicut ignis tantum calefacit, |quantum potest calefacere, 	Bien assi los sesos et |losfo.libro..vi̊.primero poderios senssiblessor determinados a sus oƀras por su naturaleza |/·Ca assi commo el fuego tanto escalienta quato puede escalentar 	Car axi com lo foch tant escalfa |quant escalfar pot 	so bien the wittes also. |For as the fuyre heteth wip al his my3t, 	sic erit sensus |Nam sicut ignis tantum calefacit |quantum potest calefacere 
157|158	propter quod, |quia determinatus est in actione sua, 	por que es determimado en la su obra 	perla qual cosa ell es determenat enla sua obra 	for it worcheth by his owne kynde 	propter quod quia deti̾atur. |in actione sua 
159|160	nec laudatur, |nec vi tuperatur, 	por esso nies de loar nin de denostar 	ne es lohat ne uituperat 	and is berfore noper preysed noper iblamed, 	nec laudatur moralis 
161|162	nec est in eo virtus moralis: |sic quia potentia digestiua tantum digerit 	por que escalienta |nin es en el uirtud moral / · |Bien assi por que el poderio de moler la uianda 	ne es en ell uirtut moral |Aximatex partal com lapotencia digestiua |aytant fa digestio 	noper perinne is moral vertue: |so for the potencial vertue of digestioun makep 	Sic quia potentia digestiua 
163	quantum potest digerere. 	tanto muele quanto puede / · 	quant digerir pot el ull 	as gret digestioun as he may, 	tamen digerit quodͧ potest 
164|165	et oculus tantum videt |quantum potest videre, 	Et el oio tanto vequa 	tant ueu |quant pot ueure enelles 	and the eyze seeth |as moche as he may, 	digerere et oculus tantum uidet |quantum potest 
166	in eis virtus moralis esse non potest, 	no puede ueer en ellos|non son de poner las uirtudesmorales/ · 	no pot esser uirtut moral/ 	perinne may no moral vertue be iset. 	uidere in eis uirtus moralis esse non potest 
167|168	Nam per virtutem moralem |determinatur potentia ad agendum: 	Ca si por la uirtud moral |el poderio es determinado para obrar /· 	Quar per la uirtut moral es determenada la potencia afer a obrar 	For by natural vertue, potencial vertue is iset awork 	Nam per uirtutem moralem decl̾atur potentia ad agendum. 
169|170|171	hæc autem sufficienter determinantur |ad actiones proprias per naturam: |non ergo indigent virtute morali 	Et estos poderios naturales e senssibles |son determinados |por su naturaleza a sus obras |por ende non ha mester ninguna uirtud moral 	mas aquestes sufficientmnent son determenades ales obres propries per lur natura/. |Donques elles no hau ops uirtut moral¶ 	atte folle |by here owen kynde and nedep berfore no moral vertue. |And so moral vertue is not in natural potencial vertue, 	hoc autem sufficienter deti̾antur |ad actiones proprias per naturam |Non igitur indigent uirtute morali. 
		que las determine por sus obras / 			
172	Si ergo nec in potentijs naturalibus, 	Pues que assi es si las uirtudes morales |non son en los poderios naturales 	Si donques en les potencies nals ne enles sensitiues 	noper in potencial vertues |of the fife wittes; 	Si igitur nec in potenciis naturalibus 
173	nec in sensibus est virtus moralis, 	nin en los sesos naturales /· 	no es uirtut moral 	and oper potencial vertues |ben pere nou3t 	nec in sensibilibus est uirtus moralis 
174	cum præter potentias naturales et sensus non sit nisi intellectus, 	Commo sin estos poderios naturales e sesos naturales |non aya en el omne otro poderio 	com sens les potencies naturals |els seỹs corporals 	bute the intellectualle vertu |that is the vnderstondyng 	cum praeter potencias naturales et sensus |non sit 
175	et appetitus intellectiuus, et sensitiuus, 	sinon el entendimiento e el apetito intellectiuo |que es la uoluntad 	no sien si no lenteniment el appetiment o la uoluntat |intellectual/ 	and the appetite sensytyue and intellectiue. 	nisi incllecus et appetitus intellectiuus et sensitiuus oportet 
		Et el appetito sen setiuo 			
		que sigue			
176	oportet esse in talibus virstutes morales.	al seso conuiene por fuerça |que en estos tales sean puestas las uirtudes morales	coue en tals potencies sien les uirtuts morals.	Thanne | in soche potencial vertues |mot be moral vertues.	in talibus esse uirtutes morales
